STEP 1; EVENT position; UNIT Sim1; POSITION [4,4]
STEP 451; EVENT position; UNIT Sim1; POSITION [10,16]
STEP 452; EVENT position; UNIT Sim1; POSITION [9,16]
STEP 453; EVENT position; UNIT Sim1; POSITION [9,15]
STEP 454; EVENT position; UNIT Sim1; POSITION [10,15]
STEP 455; EVENT position; UNIT Sim1; POSITION [10,16]
STEP 456; EVENT position; UNIT Sim1; POSITION [9,16]
STEP 457; EVENT position; UNIT Sim1; POSITION [8,16]
STEP 458; EVENT position; UNIT Sim1; POSITION [8,15]
STEP 459; EVENT position; UNIT Sim1; POSITION [7,15]
STEP 460; EVENT position; UNIT Sim1; POSITION [7,16]
STEP 461; EVENT position; UNIT Sim1; POSITION [8,16]
STEP 462; EVENT position; UNIT Sim1; POSITION [8,17]
STEP 463; EVENT position; UNIT Sim1; POSITION [8,18]
STEP 464; EVENT position; UNIT Sim1; POSITION [8,17]
STEP 465; EVENT position; UNIT Sim1; POSITION [7,17]
STEP 466; EVENT position; UNIT Sim1; POSITION [8,17]
STEP 467; EVENT position; UNIT Sim1; POSITION [8,16]
STEP 468; EVENT position; UNIT Sim1; POSITION [7,16]
STEP 469; EVENT position; UNIT Sim1; POSITION [6,16]
STEP 470; EVENT position; UNIT Sim1; POSITION [7,16]
STEP 471; EVENT position; UNIT Sim1; POSITION [8,16]
STEP 472; EVENT position; UNIT Sim1; POSITION [8,15]
STEP 473; EVENT position; UNIT Sim1; POSITION [8,16]
STEP 474; EVENT position; UNIT Sim1; POSITION [9,16]
STEP 475; EVENT position; UNIT Sim1; POSITION [8,16]
STEP 476; EVENT position; UNIT Sim1; POSITION [9,16]
STEP 477; EVENT position; UNIT Sim1; POSITION [10,16]
STEP 478; EVENT position; UNIT Sim1; POSITION [11,16]
STEP 479; EVENT position; UNIT Sim1; POSITION [11,17]
STEP 480; EVENT position; UNIT Sim1; POSITION [12,17]
STEP 481; EVENT position; UNIT Sim1; POSITION [12,18]
STEP 482; EVENT position; UNIT Sim1; POSITION [12,19]
STEP 483; EVENT position; UNIT Sim1; POSITION [12,20]
STEP 484; EVENT position; UNIT Sim1; POSITION [12,21]
STEP 485; EVENT position; UNIT Sim1; POSITION [12,20]
STEP 486; EVENT position; UNIT Sim1; POSITION [12,19]
STEP 487; EVENT position; UNIT Sim1; POSITION [12,18]
STEP 488; EVENT position; UNIT Sim1; POSITION [12,19]
STEP 489; EVENT position; UNIT Sim1; POSITION [11,19]
STEP 490; EVENT position; UNIT Sim1; POSITION [10,19]
STEP 491; EVENT position; UNIT Sim1; POSITION [10,18]
STEP 492; EVENT position; UNIT Sim1; POSITION [10,17]
STEP 493; EVENT position; UNIT Sim1; POSITION [11,17]
STEP 494; EVENT position; UNIT Sim1; POSITION [11,16]
STEP 495; EVENT position; UNIT Sim1; POSITION [10,16]
STEP 496; EVENT position; UNIT Sim1; POSITION [11,16]
STEP 497; EVENT position; UNIT Sim1; POSITION [10,16]
STEP 498; EVENT position; UNIT Sim1; POSITION [10,17]
STEP 499; EVENT position; UNIT Sim1; POSITION [9,17]
STEP 500; EVENT position; UNIT Sim1; POSITION [9,16]
STEP 501; EVENT position; UNIT Sim1; POSITION [8,16]
STEP 502; EVENT position; UNIT Sim1; POSITION [7,16]
STEP 503; EVENT position; UNIT Sim1; POSITION [8,16]
STEP 504; EVENT position; UNIT Sim1; POSITION [7,16]
STEP 505; EVENT position; UNIT Sim1; POSITION [6,16]
STEP 506; EVENT position; UNIT Sim1; POSITION [7,16]
STEP 507; EVENT position; UNIT Sim1; POSITION [8,16]
STEP 508; EVENT position; UNIT Sim1; POSITION [9,16]
STEP 509; EVENT position; UNIT Sim1; POSITION [9,17]
STEP 510; EVENT position; UNIT Sim1; POSITION [8,17]
STEP 511; EVENT position; UNIT Sim1; POSITION [9,17]
STEP 512; EVENT position; UNIT Sim1; POSITION [9,18]
STEP 513; EVENT position; UNIT Sim1; POSITION [9,19]
STEP 514; EVENT position; UNIT Sim1; POSITION [8,19]
STEP 515; EVENT position; UNIT Sim1; POSITION [8,18]
STEP 516; EVENT position; UNIT Sim1; POSITION [8,17]
STEP 517; EVENT position; UNIT Sim1; POSITION [7,17]
STEP 518; EVENT position; UNIT Sim1; POSITION [7,16]
STEP 519; EVENT position; UNIT Sim1; POSITION [7,17]
STEP 520; EVENT position; UNIT Sim1; POSITION [7,18]
STEP 521; EVENT position; UNIT Sim1; POSITION [7,19]
STEP 522; EVENT position; UNIT Sim1; POSITION [8,19]
STEP 523; EVENT position; UNIT Sim1; POSITION [8,20]
STEP 524; EVENT position; UNIT Sim1; POSITION [8,21]
STEP 525; EVENT position; UNIT Sim1; POSITION [8,20]
STEP 526; EVENT position; UNIT Sim1; POSITION [8,19]
STEP 527; EVENT position; UNIT Sim1; POSITION [7,19]
STEP 528; EVENT position; UNIT Sim1; POSITION [8,19]
STEP 529; EVENT position; UNIT Sim1; POSITION [9,19]
STEP 530; EVENT position; UNIT Sim1; POSITION [9,18]
STEP 531; EVENT position; UNIT Sim1; POSITION [10,18]
STEP 532; EVENT position; UNIT Sim1; POSITION [10,17]
STEP 533; EVENT position; UNIT Sim1; POSITION [10,16]
STEP 534; EVENT position; UNIT Sim1; POSITION [10,15]
STEP 535; EVENT position; UNIT Sim1; POSITION [10,14]
STEP 536; EVENT position; UNIT Sim1; POSITION [11,14]
STEP 537; EVENT position; UNIT Sim1; POSITION [10,14]
STEP 538; EVENT position; UNIT Sim1; POSITION [10,15]
STEP 539; EVENT position; UNIT Sim1; POSITION [10,14]
STEP 540; EVENT position; UNIT Sim1; POSITION [9,14]
STEP 541; EVENT position; UNIT Sim1; POSITION [10,14]
STEP 542; EVENT position; UNIT Sim1; POSITION [10,15]
STEP 543; EVENT position; UNIT Sim1; POSITION [9,15]
STEP 544; EVENT position; UNIT Sim1; POSITION [9,14]
STEP 545; EVENT position; UNIT Sim1; POSITION [8,14]
STEP 546; EVENT position; UNIT Sim1; POSITION [8,15]
STEP 547; EVENT position; UNIT Sim1; POSITION [9,15]
STEP 548; EVENT position; UNIT Sim1; POSITION [8,15]
STEP 549; EVENT position; UNIT Sim1; POSITION [9,15]
STEP 550; EVENT position; UNIT Sim1; POSITION [8,15]
STEP 551; EVENT position; UNIT Sim1; POSITION [9,15]
STEP 552; EVENT position; UNIT Sim1; POSITION [9,16]
STEP 553; EVENT position; UNIT Sim1; POSITION [9,17]
STEP 554; EVENT position; UNIT Sim1; POSITION [9,16]
STEP 555; EVENT position; UNIT Sim1; POSITION [9,17]
STEP 556; EVENT position; UNIT Sim1; POSITION [10,17]
STEP 557; EVENT position; UNIT Sim1; POSITION [11,17]
STEP 558; EVENT position; UNIT Sim1; POSITION [10,17]
STEP 559; EVENT position; UNIT Sim1; POSITION [9,17]
STEP 560; EVENT position; UNIT Sim1; POSITION [10,17]
STEP 561; EVENT position; UNIT Sim1; POSITION [11,17]
STEP 562; EVENT position; UNIT Sim1; POSITION [11,18]
STEP 563; EVENT position; UNIT Sim1; POSITION [12,18]
STEP 564; EVENT position; UNIT Sim1; POSITION [12,17]
STEP 565; EVENT position; UNIT Sim1; POSITION [12,18]
STEP 566; EVENT position; UNIT Sim1; POSITION [12,17]
STEP 567; EVENT position; UNIT Sim1; POSITION [13,17]
STEP 568; EVENT position; UNIT Sim1; POSITION [14,17]
STEP 569; EVENT position; UNIT Sim1; POSITION [15,17]
STEP 570; EVENT position; UNIT Sim1; POSITION [15,18]
STEP 571; EVENT position; UNIT Sim1; POSITION [15,19]
STEP 572; EVENT position; UNIT Sim1; POSITION [14,19]
STEP 573; EVENT position; UNIT Sim1; POSITION [14,18]
STEP 574; EVENT position; UNIT Sim1; POSITION [15,18]
STEP 575; EVENT position; UNIT Sim1; POSITION [15,17]
STEP 576; EVENT position; UNIT Sim1; POSITION [15,16]
STEP 577; EVENT position; UNIT Sim1; POSITION [16,16]
STEP 578; EVENT position; UNIT Sim1; POSITION [15,16]
STEP 579; EVENT position; UNIT Sim1; POSITION [15,15]
STEP 580; EVENT position; UNIT Sim1; POSITION [15,16]
STEP 581; EVENT position; UNIT Sim1; POSITION [14,16]
STEP 582; EVENT position; UNIT Sim1; POSITION [14,17]
STEP 583; EVENT position; UNIT Sim1; POSITION [15,17]
STEP 584; EVENT position; UNIT Sim1; POSITION [14,17]
STEP 585; EVENT position; UNIT Sim1; POSITION [13,17]
STEP 586; EVENT position; UNIT Sim1; POSITION [12,17]
STEP 587; EVENT position; UNIT Sim1; POSITION [12,18]
STEP 588; EVENT position; UNIT Sim1; POSITION [13,18]
STEP 589; EVENT position; UNIT Sim1; POSITION [14,18]
STEP 590; EVENT position; UNIT Sim1; POSITION [15,18]
STEP 591; EVENT position; UNIT Sim1; POSITION [15,19]
STEP 592; EVENT position; UNIT Sim1; POSITION [15,20]
STEP 593; EVENT position; UNIT Sim1; POSITION [16,20]
STEP 594; EVENT position; UNIT Sim1; POSITION [15,20]
STEP 595; EVENT position; UNIT Sim1; POSITION [15,21]
STEP 596; EVENT position; UNIT Sim1; POSITION [15,20]
STEP 597; EVENT position; UNIT Sim1; POSITION [15,21]
STEP 598; EVENT position; UNIT Sim1; POSITION [15,22]
STEP 599; EVENT outcome; OUTCOME COLONIZABLE
